DN,SERIES 1,SERIES 2,SERIES 3,SERIES X,Paved area/Existing district,Unpaved area/New district
20,19,24,29,13,55,24.1
25,25,30,36,19,70,32.5
32,32,38,45,20,99,49.1
40,39,45,51,29,110,55.1
50,47,54,62,37,148,76.8
65,53,68,83,37,192,101.4
80,69,80,91,54,229,122.2
100,90,105,119,72,308,167.2
125,106,122,137,89,365,199.9
150,147,171,195,131,427,235.4
200,273,317,361,249,536,299.1
250,358,411,464,318,637,359.8
300,452,502,552,422,703,401.0
350,498,567,636,458,750,431.4
400,544,632,720,467,795,462.1
450,617,717,817,441,834,490.3
500,691,802,913,611,881,527.0
600,905,1069,1233,840,973,607.6
700,1185,1425,1664,1097,1047,677.9
800,1552,1900,2247,1429,1136,763